uid,text,label,metadata__gold,metadata__sentence_id,metadata__pre_sentence,metadata__post_sentence
10000221,"That a minority Labour Government, staggering from crisis to crisis on borrowed money, was nonetheless maintained in power by the Liberal Party in return for the paper concession of a Lib-Lab pact?",1,FALSE,10000221,Is it really only such a short time ago that inflation rose to an annual rate of 27 per cent? That the leader of the Transport and General Workers' Union was widely seen as the most powerful man in the land?,"And that Labour's much-vaunted pay pact with the unions collapsed in the industrial anarchy of the winter of discontent, n which the dead went unburied, rubbish piled up in the streets and the country was gripped by a creeping paralysis which Labour was powerless to cure? It seems in retrospect to be the history of another country."
10000231,"And that Labour's much-vaunted pay pact with the unions collapsed in the industrial anarchy of the winter of discontent, n which the dead went unburied, rubbish piled up in the streets and the country was gripped by a creeping paralysis which Labour was powerless to cure?",2,TRUE,10000231,"That the leader of the Transport and General Workers' Union was widely seen as the most powerful man in the land? That a minority Labour Government, staggering from crisis to crisis on borrowed money, was nonetheless maintained in power by the Liberal Party in return for the paper concession of a Lib-Lab pact?",It seems in retrospect to be the history of another country. Yet these things happened and people had to accept them as an unavoidable part of everyday life.
10000241,It seems in retrospect to be the history of another country.,1,TRUE,10000241,"That a minority Labour Government, staggering from crisis to crisis on borrowed money, was nonetheless maintained in power by the Liberal Party in return for the paper concession of a Lib-Lab pact? And that Labour's much-vaunted pay pact with the unions collapsed in the industrial anarchy of the winter of discontent, n which the dead went unburied, rubbish piled up in the streets and the country was gripped by a creeping paralysis which Labour was powerless to cure?",Yet these things happened and people had to accept them as an unavoidable part of everyday life. Reversing the Decline. Remember the conventional wisdom of the day.
10000251,Yet these things happened and people had to accept them as an unavoidable part of everyday life.,1,TRUE,10000251,"And that Labour's much-vaunted pay pact with the unions collapsed in the industrial anarchy of the winter of discontent, n which the dead went unburied, rubbish piled up in the streets and the country was gripped by a creeping paralysis which Labour was powerless to cure? It seems in retrospect to be the history of another country.",Reversing the Decline. Remember the conventional wisdom of the day. The British people were ungovernable.
10000261,Reversing the Decline. Remember the conventional wisdom of the day.,1,TRUE,10000261,It seems in retrospect to be the history of another country. Yet these things happened and people had to accept them as an unavoidable part of everyday life.,The British people were ungovernable. We were in the grip of an incurable British disease.
10000271,The British people were ungovernable.,1,FALSE,10000271,Yet these things happened and people had to accept them as an unavoidable part of everyday life. Reversing the Decline. Remember the conventional wisdom of the day.,We were in the grip of an incurable British disease. Britain was heading for irreversible decline.
10000281,We were in the grip of an incurable British disease.,1,TRUE,10000281,Reversing the Decline. Remember the conventional wisdom of the day. The British people were ungovernable.,"Britain was heading for irreversible decline. Well, the people were not ungovernable, the disease was not incurable, the decline has been reversed."
10000291,Britain was heading for irreversible decline.,1,FALSE,10000291,The British people were ungovernable. We were in the grip of an incurable British disease.,"Well, the people were not ungovernable, the disease was not incurable, the decline has been reversed. Britain today is in the seventh successive year of steady economic growth."
10000301,"Well, the people were not ungovernable, the disease was not incurable, the decline has been reversed.",1,FALSE,10000301,We were in the grip of an incurable British disease. Britain was heading for irreversible decline.,Britain today is in the seventh successive year of steady economic growth. We have moved from the bottom to the top of the growth league of major European countries.
10000311,Britain today is in the seventh successive year of steady economic growth.,2,FALSE,10000311,"Britain was heading for irreversible decline. Well, the people were not ungovernable, the disease was not incurable, the decline has been reversed.","We have moved from the bottom to the top of the growth league of major European countries. In Britain today, inflation has reached its lowest levels for almost twenty years."
10000331,"In Britain today, inflation has reached its lowest levels for almost twenty years.",2,FALSE,10000331,Britain today is in the seventh successive year of steady economic growth. We have moved from the bottom to the top of the growth league of major European countries.,"In Britain today, the number of strikes has dropped to the lowest levels for 50 years. In Britain today, far from being in debt to the IMF, we have built up our net overseas assets to their highest level since the Second World War - higher than France, Germany and the United States, second only to Japan."
10000341,"In Britain today, the number of strikes has dropped to the lowest levels for 50 years.",2,FALSE,10000341,"We have moved from the bottom to the top of the growth league of major European countries. In Britain today, inflation has reached its lowest levels for almost twenty years.","In Britain today, far from being in debt to the IMF, we have built up our net overseas assets to their highest level since the Second World War - higher than France, Germany and the United States, second only to Japan. In Britain today, living standards are higher than ever before in our history."
10000351,"In Britain today, far from being in debt to the IMF, we have built up our net overseas assets to their highest level since the Second World War - higher than France, Germany and the United States, second only to Japan.",2,FALSE,10000351,"In Britain today, inflation has reached its lowest levels for almost twenty years. In Britain today, the number of strikes has dropped to the lowest levels for 50 years.","In Britain today, living standards are higher than ever before in our history. But these are bald statistics."
10000361,"In Britain today, living standards are higher than ever before in our history.",2,FALSE,10000361,"In Britain today, the number of strikes has dropped to the lowest levels for 50 years. In Britain today, far from being in debt to the IMF, we have built up our net overseas assets to their highest level since the Second World War - higher than France, Germany and the United States, second only to Japan.","But these are bald statistics. What matters is the feel of the country - the new enthusiasm for enterprise, the new spirit that Britain can make it, that we can prosper with the best."
10000371,But these are bald statistics.,1,FALSE,10000371,"In Britain today, far from being in debt to the IMF, we have built up our net overseas assets to their highest level since the Second World War - higher than France, Germany and the United States, second only to Japan. In Britain today, living standards are higher than ever before in our history.","What matters is the feel of the country - the new enthusiasm for enterprise, the new spirit that Britain can make it, that we can prosper with the best. Investment in British industry is rising strongly."
10000381,"What matters is the feel of the country - the new enthusiasm for enterprise, the new spirit that Britain can make it, that we can prosper with the best.",2,FALSE,10000381,"In Britain today, living standards are higher than ever before in our history. But these are bald statistics.","Investment in British industry is rising strongly. Our services sector, employing almost two-thirds of our workforce, generates a vast surplus of foreign earnings."
10000391,Investment in British industry is rising strongly.,2,FALSE,10000391,"But these are bald statistics. What matters is the feel of the country - the new enthusiasm for enterprise, the new spirit that Britain can make it, that we can prosper with the best.","Our services sector, employing almost two-thirds of our workforce, generates a vast surplus of foreign earnings. And our manufacturers are travelling the globe with a new confidence born of the knowledge that Britain is internationally competitive again."
10000401,"Our services sector, employing almost two-thirds of our workforce, generates a vast surplus of foreign earnings.",2,FALSE,10000401,"What matters is the feel of the country - the new enthusiasm for enterprise, the new spirit that Britain can make it, that we can prosper with the best. Investment in British industry is rising strongly.",And our manufacturers are travelling the globe with a new confidence born of the knowledge that Britain is internationally competitive again. The World Stage. This national revival is not confined to increased economic strength.
10000411,And our manufacturers are travelling the globe with a new confidence born of the knowledge that Britain is internationally competitive again.,2,FALSE,10000411,"Investment in British industry is rising strongly. Our services sector, employing almost two-thirds of our workforce, generates a vast surplus of foreign earnings.",The World Stage. This national revival is not confined to increased economic strength. Britain is also playing a major part on the international stage.
10000421,The World Stage. This national revival is not confined to increased economic strength.,1,FALSE,10000421,"Our services sector, employing almost two-thirds of our workforce, generates a vast surplus of foreign earnings. And our manufacturers are travelling the globe with a new confidence born of the knowledge that Britain is internationally competitive again.","Britain is also playing a major part on the international stage. From the White House through Europe to the Kremlin our voice is heard on arms control, on East-West issues, on human rights, on the Middle East and on African affairs."
10000431,Britain is also playing a major part on the international stage.,1,TRUE,10000431,And our manufacturers are travelling the globe with a new confidence born of the knowledge that Britain is internationally competitive again. The World Stage. This national revival is not confined to increased economic strength.,"From the White House through Europe to the Kremlin our voice is heard on arms control, on East-West issues, on human rights, on the Middle East and on African affairs. With the Conservative Government, Britain has played a strong and responsible role internationally."
10000441,"From the White House through Europe to the Kremlin our voice is heard on arms control, on East-West issues, on human rights, on the Middle East and on African affairs.",1,TRUE,10000441,The World Stage. This national revival is not confined to increased economic strength. Britain is also playing a major part on the international stage.,"With the Conservative Government, Britain has played a strong and responsible role internationally. We have defended civilised values by fighting terrorism relentlessly."
10000451,"With the Conservative Government, Britain has played a strong and responsible role internationally.",1,TRUE,10000451,"Britain is also playing a major part on the international stage. From the White House through Europe to the Kremlin our voice is heard on arms control, on East-West issues, on human rights, on the Middle East and on African affairs.","We have defended civilised values by fighting terrorism relentlessly. We have secured our national interests, as when we liberated the Falklands."
10000461,We have defended civilised values by fighting terrorism relentlessly.,1,FALSE,10000461,"From the White House through Europe to the Kremlin our voice is heard on arms control, on East-West issues, on human rights, on the Middle East and on African affairs. With the Conservative Government, Britain has played a strong and responsible role internationally.","We have secured our national interests, as when we liberated the Falklands. We have been ready to settle long-standing issues like Hong Kong where we reached an agreement to safeguard the way of life of the people."
10000471,"We have secured our national interests, as when we liberated the Falklands.",1,TRUE,10000471,"With the Conservative Government, Britain has played a strong and responsible role internationally. We have defended civilised values by fighting terrorism relentlessly.",We have been ready to settle long-standing issues like Hong Kong where we reached an agreement to safeguard the way of life of the people. Time and again we have shown that we possess the essential requirements of successful diplomacy: we stand firm on principles yet are ready to negotiate and prepared to take decisive action.
10000481,We have been ready to settle long-standing issues like Hong Kong where we reached an agreement to safeguard the way of life of the people.,1,FALSE,10000481,"We have defended civilised values by fighting terrorism relentlessly. We have secured our national interests, as when we liberated the Falklands.",Time and again we have shown that we possess the essential requirements of successful diplomacy: we stand firm on principles yet are ready to negotiate and prepared to take decisive action. Founded in Strength. The ability to act internationally does not come without effort.
10000491,Time and again we have shown that we possess the essential requirements of successful diplomacy: we stand firm on principles yet are ready to negotiate and prepared to take decisive action.,1,TRUE,10000491,"We have secured our national interests, as when we liberated the Falklands. We have been ready to settle long-standing issues like Hong Kong where we reached an agreement to safeguard the way of life of the people.",Founded in Strength. The ability to act internationally does not come without effort. It must be founded on a strong economy and a robust defence.
10000501,Founded in Strength. The ability to act internationally does not come without effort.,1,TRUE,10000501,We have been ready to settle long-standing issues like Hong Kong where we reached an agreement to safeguard the way of life of the people. Time and again we have shown that we possess the essential requirements of successful diplomacy: we stand firm on principles yet are ready to negotiate and prepared to take decisive action.,It must be founded on a strong economy and a robust defence. This Government took the necessary steps to build up both.
10000511,It must be founded on a strong economy and a robust defence.,1,FALSE,10000511,Time and again we have shown that we possess the essential requirements of successful diplomacy: we stand firm on principles yet are ready to negotiate and prepared to take decisive action. Founded in Strength. The ability to act internationally does not come without effort.,This Government took the necessary steps to build up both. Success has followed.
10000521,This Government took the necessary steps to build up both.,1,FALSE,10000521,Founded in Strength. The ability to act internationally does not come without effort. It must be founded on a strong economy and a robust defence.,Success has followed. Prudent financial policies have made Britain one of the world's largest creditors.
10000551,Today we are able to shape world efforts to sustain trade and promote international monetary co-operation.,2,FALSE,10000551,Success has followed. Prudent financial policies have made Britain one of the world's largest creditors.,"We gave a lead in NATO and installed Cruise missiles. Today, as a result, the Soviet Union is at last prepared to negotiate to remove its own missiles targeted against us."
10000561,We gave a lead in NATO and installed Cruise missiles.,1,TRUE,10000561,Prudent financial policies have made Britain one of the world's largest creditors. Today we are able to shape world efforts to sustain trade and promote international monetary co-operation.,"Today, as a result, the Soviet Union is at last prepared to negotiate to remove its own missiles targeted against us. This Government is modernising our own independent deterrent."
10000571,"Today, as a result, the Soviet Union is at last prepared to negotiate to remove its own missiles targeted against us.",1,TRUE,10000571,Today we are able to shape world efforts to sustain trade and promote international monetary co-operation. We gave a lead in NATO and installed Cruise missiles.,This Government is modernising our own independent deterrent. Today Britain retains an independent influence in arms control negotiations between the superpowers.
10000581,This Government is modernising our own independent deterrent.,1,TRUE,10000581,"We gave a lead in NATO and installed Cruise missiles. Today, as a result, the Soviet Union is at last prepared to negotiate to remove its own missiles targeted against us.","Today Britain retains an independent influence in arms control negotiations between the superpowers. By such steadfastness, we have not only rebuilt our economy and re-established our world reputation"
10000591,Today Britain retains an independent influence in arms control negotiations between the superpowers.,1,TRUE,10000591,"Today, as a result, the Soviet Union is at last prepared to negotiate to remove its own missiles targeted against us. This Government is modernising our own independent deterrent.","By such steadfastness, we have not only rebuilt our economy and re-established our world reputation we have also regained our national self-respect."
10000601,"By such steadfastness, we have not only rebuilt our economy and re-established our world reputation",1,FALSE,10000601,This Government is modernising our own independent deterrent. Today Britain retains an independent influence in arms control negotiations between the superpowers.,we have also regained our national self-respect. But restoring a country's greatness is not easy.
10000611,we have also regained our national self-respect.,1,TRUE,10000611,"Today Britain retains an independent influence in arms control negotiations between the superpowers. By such steadfastness, we have not only rebuilt our economy and re-established our world reputation",But restoring a country's greatness is not easy. The new Conservative policies met bitter resistance every step of the way.
10000621,But restoring a country's greatness is not easy.,1,TRUE,10000621,"By such steadfastness, we have not only rebuilt our economy and re-established our world reputation we have also regained our national self-respect.","The new Conservative policies met bitter resistance every step of the way. Remember: The year-long coal strike, with its violence and intimidation on a massive scale."
10000631,The new Conservative policies met bitter resistance every step of the way.,1,FALSE,10000631,we have also regained our national self-respect. But restoring a country's greatness is not easy.,"Remember: The year-long coal strike, with its violence and intimidation on a massive scale. It failed and mining productivity has since soared."
10000641,"Remember: The year-long coal strike, with its violence and intimidation on a massive scale.",2,TRUE,10000641,But restoring a country's greatness is not easy. The new Conservative policies met bitter resistance every step of the way.,It failed and mining productivity has since soared. The battle we had to fight to ensure that Britain paid no more than its fair share of the European Community Budget.
10000651,It failed and mining productivity has since soared.,2,TRUE,10000651,"The new Conservative policies met bitter resistance every step of the way. Remember: The year-long coal strike, with its violence and intimidation on a massive scale.","The battle we had to fight to ensure that Britain paid no more than its fair share of the European Community Budget. We now get automatic rebates - this year, over &lt;U+00A3&gt;1.3 billion."
10000661,The battle we had to fight to ensure that Britain paid no more than its fair share of the European Community Budget.,2,FALSE,10000661,"Remember: The year-long coal strike, with its violence and intimidation on a massive scale. It failed and mining productivity has since soared.","We now get automatic rebates - this year, over &lt;U+00A3&gt;1.3 billion. The doubling of the oil price which confronted the new Government with a world-wide recession - and, more recently, an equally dramatic fall in the oil price which halved government oil revenues and in earlier times would have threatened a collapse of confidence in the pound."
10000671,"We now get automatic rebates - this year, over £1.3 billion.",2,FALSE,10000671,It failed and mining productivity has since soared. The battle we had to fight to ensure that Britain paid no more than its fair share of the European Community Budget.,"The doubling of the oil price which confronted the new Government with a world-wide recession - and, more recently, an equally dramatic fall in the oil price which halved government oil revenues and in earlier times would have threatened a collapse of confidence in the pound. Both these oil shocks were successfully withstood by prudent policies which have produced a sustained growth of prosperity."
10000681,"The doubling of the oil price which confronted the new Government with a world-wide recession - and, more recently, an equally dramatic fall in the oil price which halved government oil revenues and in earlier times would have threatened a collapse of confidence in the pound.",2,FALSE,10000681,"The battle we had to fight to ensure that Britain paid no more than its fair share of the European Community Budget. We now get automatic rebates - this year, over &lt;U+00A3&gt;1.3 billion.",Both these oil shocks were successfully withstood by prudent policies which have produced a sustained growth of prosperity. And let us not forget the challenge of the Falklands War.
10000691,Both these oil shocks were successfully withstood by prudent policies which have produced a sustained growth of prosperity.,2,FALSE,10000691,"We now get automatic rebates - this year, over £1.3 billion. The doubling of the oil price which confronted the new Government with a world-wide recession - and, more recently, an equally dramatic fall in the oil price which halved government oil revenues and in earlier times would have threatened a collapse of confidence in the pound.","And let us not forget the challenge of the Falklands War. How many of the alternative governments on offer would have stood firm, overcome, or even survived such difficulties?"
10000701,And let us not forget the challenge of the Falklands War.,1,TRUE,10000701,"The doubling of the oil price which confronted the new Government with a world-wide recession - and, more recently, an equally dramatic fall in the oil price which halved government oil revenues and in earlier times would have threatened a collapse of confidence in the pound. Both these oil shocks were successfully withstood by prudent policies which have produced a sustained growth of prosperity.","How many of the alternative governments on offer would have stood firm, overcome, or even survived such difficulties? Does anyone suppose that the Labour Party would have resisted, let alone defeated, the violence and intimidation in the coal strike?"
10000711,"How many of the alternative governments on offer would have stood firm, overcome, or even survived such difficulties?",1,TRUE,10000711,Both these oil shocks were successfully withstood by prudent policies which have produced a sustained growth of prosperity. And let us not forget the challenge of the Falklands War.,"Does anyone suppose that the Labour Party would have resisted, let alone defeated, the violence and intimidation in the coal strike? Or that the Liberals or the Social Democrats would have fought so hard for our rebate from the European Community?"
10000721,"Does anyone suppose that the Labour Party would have resisted, let alone defeated, the violence and intimidation in the coal strike?",1,FALSE,10000721,"And let us not forget the challenge of the Falklands War. How many of the alternative governments on offer would have stood firm, overcome, or even survived such difficulties?",Or that the Liberals or the Social Democrats would have fought so hard for our rebate from the European Community? Or that any of the Opposition parties would have persevered through all these difficulties to break the back of inflation and restore honest money?
10000731,Or that the Liberals or the Social Democrats would have fought so hard for our rebate from the European Community?,1,FALSE,10000731,"How many of the alternative governments on offer would have stood firm, overcome, or even survived such difficulties? Does anyone suppose that the Labour Party would have resisted, let alone defeated, the violence and intimidation in the coal strike?",Or that any of the Opposition parties would have persevered through all these difficulties to break the back of inflation and restore honest money? A Strong and Stable Government. How has it been done?
10000741,Or that any of the Opposition parties would have persevered through all these difficulties to break the back of inflation and restore honest money?,2,FALSE,10000741,"Does anyone suppose that the Labour Party would have resisted, let alone defeated, the violence and intimidation in the coal strike? Or that the Liberals or the Social Democrats would have fought so hard for our rebate from the European Community?",A Strong and Stable Government. How has it been done? All these improvements in the wealth and standing of our country have only been possible because we have had a strong government with sound policies and a decisive majority in Parliament.
10000751,A Strong and Stable Government. How has it been done?,1,TRUE,10000751,Or that the Liberals or the Social Democrats would have fought so hard for our rebate from the European Community? Or that any of the Opposition parties would have persevered through all these difficulties to break the back of inflation and restore honest money?,All these improvements in the wealth and standing of our country have only been possible because we have had a strong government with sound policies and a decisive majority in Parliament. A weak government with uncertain policies would not have known how to withstand the pressures upon it
10000761,All these improvements in the wealth and standing of our country have only been possible because we have had a strong government with sound policies and a decisive majority in Parliament.,1,TRUE,10000761,Or that any of the Opposition parties would have persevered through all these difficulties to break the back of inflation and restore honest money? A Strong and Stable Government. How has it been done?,A weak government with uncertain policies would not have known how to withstand the pressures upon it a government without a good overall majority in Parliament would not have been allowed to do so
10000771,A weak government with uncertain policies would not have known how to withstand the pressures upon it,1,TRUE,10000771,A Strong and Stable Government. How has it been done? All these improvements in the wealth and standing of our country have only been possible because we have had a strong government with sound policies and a decisive majority in Parliament.,a government without a good overall majority in Parliament would not have been allowed to do so and a strong government with unso1ind policies would have been a positive force for disaster.
10000781,a government without a good overall majority in Parliament would not have been allowed to do so,1,TRUE,10000781,All these improvements in the wealth and standing of our country have only been possible because we have had a strong government with sound policies and a decisive majority in Parliament. A weak government with uncertain policies would not have known how to withstand the pressures upon it,"and a strong government with unso1ind policies would have been a positive force for disaster. In this election, only the Conservative Party is offering strong, decisive and united government."
10000791,and a strong government with unso1ind policies would have been a positive force for disaster.,1,TRUE,10000791,A weak government with uncertain policies would not have known how to withstand the pressures upon it a government without a good overall majority in Parliament would not have been allowed to do so,"In this election, only the Conservative Party is offering strong, decisive and united government. The Next Moves Forward. The next Conservative Government will build on the achievements of the past eight years with a full programme of positive reform."
10000801,"In this election, only the Conservative Party is offering strong, decisive and united government.",1,TRUE,10000801,a government without a good overall majority in Parliament would not have been allowed to do so and a strong government with unso1ind policies would have been a positive force for disaster.,"The Next Moves Forward. The next Conservative Government will build on the achievements of the past eight years with a full programme of positive reform. We will continue: to pursue policies of sound financial management, the conquest of inflation, the promotion of enterprise and the growth of employment"
10000811,The Next Moves Forward. The next Conservative Government will build on the achievements of the past eight years with a full programme of positive reform.,1,TRUE,10000811,"and a strong government with unso1ind policies would have been a positive force for disaster. In this election, only the Conservative Party is offering strong, decisive and united government.","We will continue: to pursue policies of sound financial management, the conquest of inflation, the promotion of enterprise and the growth of employment to spread the ownership of homes, shares, pensions and savings ever more widely to give families greater financial independence"
10000821,"We will continue: to pursue policies of sound financial management, the conquest of inflation, the promotion of enterprise and the growth of employment",2,FALSE,10000821,"In this election, only the Conservative Party is offering strong, decisive and united government. The Next Moves Forward. The next Conservative Government will build on the achievements of the past eight years with a full programme of positive reform.","to spread the ownership of homes, shares, pensions and savings ever more widely to give families greater financial independence to give people greater choice and responsibility over their own lives in important areas such as housing and education"
10000831,"to spread the ownership of homes, shares, pensions and savings ever more widely to give families greater financial independence",2,FALSE,10000831,"The Next Moves Forward. The next Conservative Government will build on the achievements of the past eight years with a full programme of positive reform. We will continue: to pursue policies of sound financial management, the conquest of inflation, the promotion of enterprise and the growth of employment","to give people greater choice and responsibility over their own lives in important areas such as housing and education to improve the well-being of the people through better health care, and to safeguard the living standards of those who have to depend on the community"
10000841,to give people greater choice and responsibility over their own lives in important areas such as housing and education,3,FALSE,10000841,"We will continue: to pursue policies of sound financial management, the conquest of inflation, the promotion of enterprise and the growth of employment to spread the ownership of homes, shares, pensions and savings ever more widely to give families greater financial independence","to improve the well-being of the people through better health care, and to safeguard the living standards of those who have to depend on the community to improve the quality of life by conserving the best of our heritage and our countryside, and by fostering provision for the arts and sport"
10000851,"to improve the well-being of the people through better health care, and to safeguard the living standards of those who have to depend on the community",1,FALSE,10000851,"to spread the ownership of homes, shares, pensions and savings ever more widely to give families greater financial independence to give people greater choice and responsibility over their own lives in important areas such as housing and education","to improve the quality of life by conserving the best of our heritage and our countryside, and by fostering provision for the arts and sport to exercise strong leadership where government needs to be strong in protecting the nation against potential aggression and the citizen against lawlessness."
10000861,"to improve the quality of life by conserving the best of our heritage and our countryside, and by fostering provision for the arts and sport",3,FALSE,10000861,"to give people greater choice and responsibility over their own lives in important areas such as housing and education to improve the well-being of the people through better health care, and to safeguard the living standards of those who have to depend on the community","to exercise strong leadership where government needs to be strong in protecting the nation against potential aggression and the citizen against lawlessness. We intend to press on with the radical Conservative reform which we embarked upon in 1979, and which has already revived the spirit of our people and restored the reputation of our country."
10000871,to exercise strong leadership where government needs to be strong in protecting the nation against potential aggression and the citizen against lawlessness.,3,FALSE,10000871,"to improve the well-being of the people through better health care, and to safeguard the living standards of those who have to depend on the community to improve the quality of life by conserving the best of our heritage and our countryside, and by fostering provision for the arts and sport","We intend to press on with the radical Conservative reform which we embarked upon in 1979, and which has already revived the spirit of our people and restored the reputation of our country. Wider Ownership and Greater Opportunity. Conservatives aim to extend as widely as possible the opportunity to own property and build up capital, to exercise real choice in education, and to develop economic independence and security."
10000881,"We intend to press on with the radical Conservative reform which we embarked upon in 1979, and which has already revived the spirit of our people and restored the reputation of our country.",1,TRUE,10000881,"to improve the quality of life by conserving the best of our heritage and our countryside, and by fostering provision for the arts and sport to exercise strong leadership where government needs to be strong in protecting the nation against potential aggression and the citizen against lawlessness.","Wider Ownership and Greater Opportunity. Conservatives aim to extend as widely as possible the opportunity to own property and build up capital, to exercise real choice in education, and to develop economic independence and security. Our goal is a capital-owning democracy of people and families who exercise power over their own lives n the most direct way."
10000891,"Wider Ownership and Greater Opportunity. Conservatives aim to extend as widely as possible the opportunity to own property and build up capital, to exercise real choice in education, and to develop economic independence and security.",2,FALSE,10000891,"to exercise strong leadership where government needs to be strong in protecting the nation against potential aggression and the citizen against lawlessness. We intend to press on with the radical Conservative reform which we embarked upon in 1979, and which has already revived the spirit of our people and restored the reputation of our country.","Our goal is a capital-owning democracy of people and families who exercise power over their own lives n the most direct way. They would take the important decisions - as tenants, home-owners, parents, employees, and trade unionists rather than having them taken for them."
